ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF_0,EpicF_1,EpicF_2,EpicF_3,EpicF_4,SuperiorF_0,SuperiorF_1,SuperiorF_2,SuperiorF_3,SuperiorF_4,GoodF_0,GoodF_1,GoodF_2,GoodF_3,GoodF_4,Epic_0,Epic_1,Epic_2,Epic_3,Epic_4,Superior_0,Superior_1,Superior_2,Superior_3,Superior_4,Good_0,Good_1,Good_2,Good_3,Good_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.08483823389,0.08483823389,0,0,1.4543697834,1.09077727795,0.81808298826,0.7271848917,0.7271848917,1.4543697834,1.09077727795,0.81808298826,0.7271848917,0.7271848917,1.4543697834,1.09077727795,0.81808298826,0.7271848917,0.7271848917,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
5,0.10496228933,0.10496228933,0,0,1.73730683327,1.30298006535,0.97723507881,0.86865341663,0.86865341663,1.73730683327,1.30298006535,0.97723507881,0.86865341663,0.86865341663,1.73730683327,1.30298006535,0.97723507881,0.86865341663,0.86865341663,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
6,0.12607884407,0.12607884407,0,0,2.01726150513,1.51294600964,1.13470947742,1.00863075256,1.00863075256,2.01726150513,1.51294600964,1.13470947742,1.00863075256,1.00863075256,2.01726150513,1.51294600964,1.13470947742,1.00863075256,1.00863075256,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
7,0.14995892346,0.14995892346,0,0,2.32194471359,1.74145841599,1.30609381199,1.1609723568,1.1609723568,2.32194471359,1.74145841599,1.30609381199,1.1609723568,1.1609723568,2.32194471359,1.74145841599,1.30609381199,1.1609723568,1.1609723568,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
8,0.15589654446,0.15589654446,0,0,2.41388201714,1.81041145325,1.35780858994,1.20694100857,1.20694100857,2.41388201714,1.81041145325,1.35780858994,1.20694100857,1.20694100857,2.41388201714,1.81041145325,1.35780858994,1.20694100857,1.20694100857,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
9,0.18081028759,0.18081028759,0,0,2.71215415001,2.03411579132,1.52558672428,1.356077075,1.356077075,2.71215415001,2.03411579132,1.52558672428,1.356077075,1.356077075,2.71215415001,2.03411579132,1.52558672428,1.356077075,1.356077075,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1
10,0.18512012064,0.18512012064,0,0,2.77680182457,2.08260130882,1.56195104122,1.38840091228,1.38840091228,2.77680182457,2.08260130882,1.56195104122,1.38840091228,1.38840091228,2.77680182457,2.08260130882,1.56195104122,1.38840091228,1.38840091228,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1
11,0.21277911961,0.21277911961,0,0,3.09496903419,2.32122659683,1.74092006683,1.5474845171,1.5474845171,3.09496903419,2.32122659683,1.74092006683,1.5474845171,1.5474845171,3.09496903419,2.32122659683,1.74092006683,1.5474845171,1.5474845171,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
12,0.21756544709,0.21756544709,0,0,3.16458845139,2.37344121933,1.78008103371,1.58229422569,1.58229422569,3.16458845139,2.37344121933,1.78008103371,1.58229422569,1.58229422569,3.16458845139,2.37344121933,1.78008103371,1.58229422569,1.58229422569,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
